"Jahr","Alter","Geschlecht","qx"
1948,21,"M",0.002748
1948,22,"M",0.002944
1948,23,"M",0.003199
1948,24,"M",0.003363
1948,25,"M",0.003316
1948,26,"M",0.00324
1948,27,"M",0.002407
1948,28,"M",0.003019
1948,29,"M",0.002506
1948,30,"M",0.004092
1948,31,"M",0.003614
1948,32,"M",0.003498
1948,33,"M",0.003828
1948,34,"M",0.003634
1948,35,"M",0.003442
1948,36,"M",0.003881
1948,37,"M",0.003548
1948,38,"M",0.004084
1948,39,"M",0.004426
1948,40,"M",0.005016
1948,41,"M",0.004869
1948,42,"M",0.004955
1948,43,"M",0.005871
1948,44,"M",0.006235
1948,45,"M",0.00622
1948,46,"M",0.007117
1948,47,"M",0.008523
1948,48,"M",0.008697
1948,49,"M",0.009202
1948,50,"M",0.009903
1948,51,"M",0.01085
1948,52,"M",0.012338
1948,53,"M",0.014008
1948,54,"M",0.01347
1948,55,"M",0.016338
1948,56,"M",0.017179
1948,57,"M",0.016865
1948,58,"M",0.018907
1948,59,"M",0.020075
1948,60,"M",0.022797
1948,61,"M",0.023566
1948,62,"M",0.025008
1948,63,"M",0.028551
1948,64,"M",0.031306
1948,65,"M",0.033244
1948,66,"M",0.036457
1948,67,"M",0.036627
1948,68,"M",0.03914
1948,69,"M",0.046578
1948,70,"M",0.050133
1948,71,"M",0.051906
1948,72,"M",0.058996
1948,73,"M",0.061029
1948,74,"M",0.073682
1948,75,"M",0.076672
1948,76,"M",0.082982
1948,77,"M",0.091318
1948,78,"M",0.101684
1948,79,"M",0.113479
1948,80,"M",0.127043
1948,81,"M",0.130945
1948,82,"M",0.140332
1948,83,"M",0.154676
1948,84,"M",0.162926
1948,85,"M",0.186191
1948,86,"M",0.187187
1948,87,"M",0.201244
1948,88,"M",0.229896
1948,89,"M",0.24035
1948,90,"M",0.264642
1948,91,"M",0.292437
1948,92,"M",0.237838
1948,93,"M",0.288462
1948,94,"M",0.297872
1948,95,"M",0.320988
1948,0,"F",0.066801
1948,1,"F",0.005751
1948,2,"F",0.003035
1948,3,"F",0.002176
1948,4,"F",0.001798
1948,5,"F",0.001298
1948,6,"F",0.001402
1948,7,"F",9e-04
1948,8,"F",0.000854
1948,9,"F",0.000721
1948,10,"F",0.000712
1948,11,"F",0.00067
1948,12,"F",0.000685
1948,13,"F",0.000767
1948,14,"F",0.000909
1948,15,"F",0.001145
1948,16,"F",0.001308
1948,17,"F",0.001288
1948,18,"F",0.001532
1948,19,"F",0.00181
1948,20,"F",0.001803
1948,21,"F",0.001756
1948,22,"F",0.001976
1948,23,"F",0.001823
1948,24,"F",0.001998
1948,25,"F",0.002445
1948,26,"F",0.001925
1948,27,"F",0.002072
1948,28,"F",0.00241
1948,29,"F",0.002284
1948,30,"F",0.002563
1948,31,"F",0.002953
1948,32,"F",0.002327
1948,33,"F",0.00255
1948,34,"F",0.00291
1948,35,"F",0.002789
1948,36,"F",0.002934
1948,37,"F",0.002863
1948,38,"F",0.003045
1948,39,"F",0.003138
1948,40,"F",0.003001
